County,Heat,Wet Bulb,Farm Crop Yields,Sea Level Rise,Very Large Fires,Economic Damages,Score
"Bulloch County, GA",7,2,8,1,1,6,19
"Coffee County, GA",7,2,9,1,1,5,19
"Decatur County, GA",7,2,8,1,1,6,19
"Johnson County, GA",7,2,8,1,1,6,19
"Lowndes County, GA",7,2,7,1,3,6,19
"Tattnall County, GA",7,2,8,1,1,6,19
"Worth County, GA",7,2,8,1,1,6,19
"Jackson County, IL",6,7,7,1,1,5,19
"Johnson County, IL",6,6,8,1,1,5,19
"Massac County, IL",4,7,8,1,1,5,19
"St. Clair County, IL",7,6,7,1,1,5,19
"Saline County, IL",6,7,7,1,1,5,19
"White County, IL",6,9,6,1,1,5,19
"Barton County, KS",7,4,8,1,1,5,19
"Bourbon County, KS",6,4,8,1,2,5,19
"Chautauqua County, KS",7,2,8,1,2,5,19
"Dickinson County, KS",7,4,8,1,1,5,19
"Ellis County, KS",7,2,8,1,2,5,19
"Graham County, KS",7,2,8,1,2,5,19
"Greenwood County, KS",6,2,8,1,3,5,19
"Harper County, KS",7,2,9,1,1,5,19
"Hodgeman County, KS",7,2,8,1,2,5,19
"Kiowa County, KS",7,4,8,1,1,5,19
"Lyon County, KS",6,2,8,1,3,5,19
"Ness County, KS",7,2,8,1,2,5,19
"Osborne County, KS",7,2,8,1,2,5,19
"Ottawa County, KS",7,4,8,1,1,5,19
"Pawnee County, KS",7,4,8,1,1,5,19
